City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
0,Kolondieba,ML,82.31,broken clouds,11.0882,-6.8926,Hotel Dakan
4,Hilo,US,82.13,few clouds,19.7297,-155.09,Hilo Hawaiian Hotel
5,Butaritari,KI,82.42,few clouds,3.0707,172.7902,Isles Sunset Lodge
8,Kavaratti,IN,82.02,broken clouds,10.5669,72.642,Hotels in Lakshadweep Islands
9,Alta Floresta,BR,72.16,overcast clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
13,Rikitea,PF,74.57,light rain,-23.1203,-134.9692,People ThankYou
15,Barroquinha,BR,80.02,broken clouds,-3.0189,-41.1361,Pousada Fontenele
20,Carutapera,BR,78.26,overcast clouds,-1.195,-46.02,Lidera
21,Panalingaan,PH,79.11,overcast clouds,8.7842,117.4231,I Love Panalingaan View Deck
22,Mahebourg,MU,75.49,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
26,Inhambane,MZ,73.45,scattered clouds,-23.865,35.3833,Oceano
27,Luxor,EG,71.65,clear sky,25.6989,32.6421,Iberotel Luxor
29,Arraial Do Cabo,BR,71.56,scattered clouds,-22.9661,-42.0278,Pousada Porto Praia
30,Ambon,ID,82.54,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
31,Avarua,CK,78.85,broken clouds,-21.2078,-159.775,Paradise Inn
34,Cayenne,GF,79.09,overcast clouds,4.9333,-52.3333,Hôtel Le Dronmi
41,Maceio,BR,81.84,clear sky,-9.6658,-35.7353,Poutur Pousada
46,Port Augusta,AU,84.7,broken clouds,-32.5,137.7667,Majestic Oasis Apartments
47,Batemans Bay,AU,74.1,overcast clouds,-35.7167,150.1833,Batemans Bay Marina Resort
49,Araguacu,BR,73.04,overcast clouds,-12.9306,-49.8264,Hotel Tocantins
56,Saint-Philippe,RE,71.22,clear sky,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
57,Coahuayana,MX,85.48,scattered clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
60,Yenagoa,NG,76.26,overcast clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
63,Vaini,TO,82.56,scattered clouds,-21.2,-175.2,Keleti Beach Resort
66,Victoria,HK,77.32,few clouds,22.2855,114.1577,Mini Hotel Central
69,Biak,ID,79.12,overcast clouds,-0.9131,122.8766,Penginapan Kim
70,Vila Franca Do Campo,PT,70.2,overcast clouds,37.7167,-25.4333,Pestana Bahia Praia
71,Beira,MZ,74.88,scattered clouds,-19.8436,34.8389,Beira Terrace Hotel
74,Salalah,OM,75.29,few clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
75,Atar,MR,79.05,clear sky,20.5169,-13.0499,Oumou Elghoura
78,Kapaa,US,82.38,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
79,Misratah,LY,78.67,overcast clouds,32.3754,15.0925,Almasa Hotel
81,Lompoc,US,79.02,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
82,Bengkulu,ID,74.71,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
86,Mattru,SL,75.02,moderate rain,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
87,Kokopo,PG,84.4,overcast clouds,-4.352,152.2633,Kokopo Beach Bungalow Resort
89,Linares,CL,70.39,clear sky,-35.85,-71.6,Hotel Real
92,Kutum,SD,71.85,scattered clouds,14.2,24.6667,Dibbo areaمنطقة دبو
97,Atuona,PF,78.08,clear sky,-9.8,-139.0333,Villa Enata
105,Hobart,AU,70.02,broken clouds,-42.8794,147.3294,Mantra on Collins Hobart
106,New Norfolk,AU,70.66,broken clouds,-42.7826,147.0587,The Shingles Riverside Cottages
112,Punta Cardon,VE,81.81,overcast clouds,11.6581,-70.215,Bambuda hotel
116,Grand Gaube,MU,72.37,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
120,Georgetown,MY,78.89,few clouds,5.4112,100.3354,Cititel Penang
122,Safaga,EG,73.35,clear sky,26.7292,33.9365,Lamar Resort Abu Soma
125,Faanui,PF,79.61,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
126,Bundaberg,AU,77.22,overcast clouds,-24.85,152.35,Takalvan Motel
127,Waingapu,ID,82.13,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
