City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Fairbanks,US,2021-11-03 21:25:22,64.8378,-147.7164,35.6,90,90,0.0
1,Atuona,PF,2021-11-03 21:25:22,-9.8,-139.0333,78.03,66,61,12.44
2,Port Elizabeth,ZA,2021-11-03 21:20:51,-33.918,25.5701,55.69,88,0,2.3
3,Nizhnyaya Tavda,RU,2021-11-03 21:25:23,57.6731,66.1725,20.55,82,100,9.95
4,Puerto Ayora,EC,2021-11-03 21:25:23,-0.7393,-90.3518,80.56,76,83,10.04
5,Ushuaia,AR,2021-11-03 21:22:05,-54.8,-68.3,47.86,61,75,24.16
6,Punta Arenas,CL,2021-11-03 21:25:24,-53.15,-70.9167,53.71,50,0,26.46
7,New Norfolk,AU,2021-11-03 21:25:24,-42.7826,147.0587,58.75,80,6,1.01
8,Sechura,PE,2021-11-03 21:25:25,-5.5569,-80.8222,74.75,56,34,15.46
9,Hay River,CA,2021-11-03 21:25:25,60.8156,-115.7999,48.18,49,75,9.22
10,Kuytun,RU,2021-11-03 21:25:26,54.3419,101.5036,4.93,79,100,12.59
11,Presidencia Roque Saenz Pena,AR,2021-11-03 21:25:26,-26.7852,-60.4388,86.9,43,96,3.83
12,Tungor,RU,2021-11-03 21:25:27,53.3808,142.9564,30.67,92,34,11.18
13,Barrow,US,2021-11-03 21:25:27,71.2906,-156.7887,26.62,80,90,16.11
14,Kargasok,RU,2021-11-03 21:25:27,59.0556,80.8572,8.89,85,99,8.88
15,Katsuura,JP,2021-11-03 21:25:28,35.1333,140.3,59.14,65,92,9.33
16,Pisco,PE,2021-11-03 21:25:28,-13.7,-76.2167,69.85,73,0,10.36
17,Mataura,NZ,2021-11-03 21:25:29,-46.1927,168.8643,59.49,49,30,2.33
18,Albany,US,2021-11-03 21:22:05,42.6001,-73.9662,46.51,59,71,8.88
19,Aklavik,CA,2021-11-03 21:25:29,68.2191,-135.0107,18.43,93,80,7.85
20,Manjeshwar,IN,2021-11-03 21:25:30,12.7194,74.8861,77.95,89,100,3.38
21,Hilo,US,2021-11-03 21:25:30,19.7297,-155.09,87.28,64,20,9.22
22,Vaini,TO,2021-11-03 21:25:31,-21.2,-175.2,80.76,94,75,9.22
23,Kavaratti,IN,2021-11-03 21:25:31,10.5669,72.642,81.57,78,100,11.45
24,Port Alfred,ZA,2021-11-03 21:25:31,-33.5906,26.891,63.21,88,0,1.48
25,Lorengau,PG,2021-11-03 21:25:32,-2.0226,147.2712,81.81,81,88,11.34
26,Margate,GB,2021-11-03 21:25:32,51.3813,1.3862,47.7,94,100,23.24
27,Requena,ES,2021-11-03 21:25:33,39.4883,-1.1004,49.71,60,0,8.79
28,Qaanaaq,GL,2021-11-03 21:25:33,77.484,-69.3632,4.96,59,0,8.41
29,Si Sa Ket,TH,2021-11-03 21:25:33,14.8333,104.3333,72.32,90,100,2.77
30,Avera,US,2021-11-03 21:25:34,33.194,-82.5271,63.91,46,61,7.52
31,Butaritari,KI,2021-11-03 21:25:34,3.0707,172.7902,83.17,71,100,15.73
32,Hermanus,ZA,2021-11-03 21:25:34,-34.4187,19.2345,60.91,79,3,11.7
33,Bethel,US,2021-11-03 21:25:35,41.3712,-73.414,50.09,55,20,10.36
34,Rikitea,PF,2021-11-03 21:25:35,-23.1203,-134.9692,73.8,73,100,14.99
35,Tasiilaq,GL,2021-11-03 21:25:36,65.6145,-37.6368,30.36,82,24,8.3
36,Cap Malheureux,MU,2021-11-03 21:25:36,-19.9842,57.6142,73.89,79,2,3.0
37,Saskylakh,RU,2021-11-03 21:25:37,71.9167,114.0833,-8.59,93,69,9.17
38,Busselton,AU,2021-11-03 21:25:37,-33.65,115.3333,42.08,87,89,4.88
39,Cape Town,ZA,2021-11-03 21:22:55,-33.9258,18.4232,62.28,80,75,9.22
40,Jamestown,US,2021-11-03 21:24:52,42.097,-79.2353,40.3,67,90,4.0
41,Chokurdakh,RU,2021-11-03 21:25:38,70.6333,147.9167,-9.92,99,94,6.6
42,Sayville,US,2021-11-03 21:20:43,40.7359,-73.0821,52.29,52,20,1.01
43,Kjollefjord,NO,2021-11-03 21:25:38,70.9457,27.3465,41.05,87,75,19.57
44,Mount Isa,AU,2021-11-03 21:25:39,-20.7333,139.5,76.77,73,40,3.44
45,Tiksi,RU,2021-11-03 21:25:39,71.6872,128.8694,-10.35,98,92,9.19
46,Nikolskoye,RU,2021-11-03 21:25:40,59.7035,30.7861,44.87,89,100,9.42
47,Avarua,CK,2021-11-03 21:26:40,-21.2078,-159.775,78.85,65,20,13.8
