City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
0,Kolondieba,ML,11.0882,-6.8926,82.31,46,55,2.48,broken clouds
1,Albany,US,42.6001,-73.9662,42.03,68,41,5.32,scattered clouds
2,Khandbari,NP,27.3747,87.2039,55.27,71,92,3.18,overcast clouds
3,Lavrentiya,RU,65.5833,-171.0,8.55,80,100,11.56,overcast clouds
4,Hilo,US,19.7297,-155.09,82.13,67,20,8.05,few clouds
5,Butaritari,KI,3.0707,172.7902,82.42,71,14,12.64,few clouds
6,Dormidontovka,RU,47.7702,134.9076,40.15,75,47,10.25,scattered clouds
7,Juneau,US,58.3019,-134.4197,44.83,90,90,8.05,overcast clouds
8,Kavaratti,IN,10.5669,72.642,82.02,78,71,14.29,broken clouds
9,Alta Floresta,BR,-9.8756,-56.0861,72.16,96,98,2.28,overcast clouds
10,Mataura,NZ,-46.1927,168.8643,61.48,40,92,4.23,overcast clouds
11,Bluff,NZ,-46.6,168.3333,61.81,63,37,7.11,scattered clouds
12,Jamestown,US,42.097,-79.2353,39.72,60,90,0.0,overcast clouds
13,Rikitea,PF,-23.1203,-134.9692,74.57,79,89,9.26,light rain
14,Sorland,NO,67.667,12.6934,42.96,72,100,17.54,light rain
15,Barroquinha,BR,-3.0189,-41.1361,80.02,83,83,7.0,broken clouds
16,Margate,GB,51.3813,1.3862,49.03,76,73,1.99,broken clouds
17,Mbini,GQ,1.574,9.6134,78.08,87,99,4.47,overcast clouds
18,Ushuaia,AR,-54.8,-68.3,55.06,44,40,18.41,scattered clouds
19,Busselton,AU,-33.65,115.3333,52.09,66,1,7.31,clear sky
20,Carutapera,BR,-1.195,-46.02,78.26,85,100,5.75,overcast clouds
21,Panalingaan,PH,8.7842,117.4231,79.11,85,100,2.24,overcast clouds
22,Mahebourg,MU,-20.4081,57.7,75.49,88,40,6.91,scattered clouds
23,Katsuura,JP,35.1333,140.3,64.11,68,7,11.63,clear sky
24,Sujangarh,IN,27.7011,74.4649,68.25,30,43,4.16,scattered clouds
25,Christchurch,NZ,-43.5333,172.6333,62.33,64,75,1.99,broken clouds
26,Inhambane,MZ,-23.865,35.3833,73.45,89,36,8.77,scattered clouds
27,Luxor,EG,25.6989,32.6421,71.65,40,0,0.0,clear sky
28,Jutai,BR,-5.1833,-68.9,74.75,90,99,1.36,overcast clouds
29,Arraial Do Cabo,BR,-22.9661,-42.0278,71.56,83,40,5.75,scattered clouds
30,Ambon,ID,-3.6954,128.1814,82.54,83,40,2.3,scattered clouds
31,Avarua,CK,-21.2078,-159.775,78.85,61,75,11.5,broken clouds
32,Hamilton,US,39.1834,-84.5333,47.79,62,1,3.44,clear sky
33,Port Hardy,CA,50.6996,-127.4199,42.8,87,100,8.93,light rain
34,Cayenne,GF,4.9333,-52.3333,79.09,89,90,1.99,overcast clouds
35,Kodiak,US,57.79,-152.4072,40.51,60,75,9.22,broken clouds
36,Perelyub,RU,51.8667,50.3667,34.11,43,97,14.99,overcast clouds
37,East London,ZA,-33.0153,27.9116,65.53,87,100,11.7,light rain
38,Puerto Ayora,EC,-0.7393,-90.3518,69.48,77,42,10.09,scattered clouds
39,Campbell River,CA,50.0163,-125.2446,45.32,81,75,3.0,broken clouds
40,Punta Arenas,CL,-53.15,-70.9167,53.71,58,75,28.77,broken clouds
41,Maceio,BR,-9.6658,-35.7353,81.84,89,0,10.36,clear sky
42,Northam,GB,51.0333,-4.2167,52.39,85,99,9.13,overcast clouds
43,Yellowknife,CA,62.456,-114.3525,29.41,99,75,6.91,broken clouds
44,Aykhal,RU,66.0,111.5,-4.27,100,36,7.87,scattered clouds
45,Podyuga,RU,61.095,40.8647,47.14,83,99,16.62,moderate rain
46,Port Augusta,AU,-32.5,137.7667,84.7,41,73,6.49,broken clouds
47,Batemans Bay,AU,-35.7167,150.1833,74.1,77,90,5.97,overcast clouds
48,Luderitz,NA,-26.6481,15.1594,60.55,72,48,16.96,scattered clouds
49,Araguacu,BR,-12.9306,-49.8264,73.04,91,100,3.8,overcast clouds
50,Stonewall,CA,50.1344,-97.3268,47.79,65,96,11.48,overcast clouds
51,Taltal,CL,-25.4,-70.4833,62.6,73,23,6.38,few clouds
52,Maldonado,UY,-34.6667,-54.9167,56.59,70,100,16.84,overcast clouds
53,Provideniya,RU,64.3833,-173.3,11.71,79,4,8.25,clear sky
54,Andenes,NO,69.3143,16.1194,38.07,93,90,6.91,overcast clouds
55,Reghin,RO,46.7742,24.7022,51.51,90,97,3.6,overcast clouds
56,Saint-Philippe,RE,-21.3585,55.7679,71.22,79,0,5.91,clear sky
57,Coahuayana,MX,18.7333,-103.6833,85.48,70,30,3.89,scattered clouds
58,Qaanaaq,GL,77.484,-69.3632,11.23,68,93,11.25,overcast clouds
59,San Patricio,US,28.017,-97.5169,68.94,53,0,5.88,clear sky
60,Yenagoa,NG,4.9247,6.2642,76.26,94,95,4.16,overcast clouds
61,Longyearbyen,SJ,78.2186,15.6401,12.04,73,40,3.44,scattered clouds
62,Ulaangom,MN,49.9811,92.0667,11.77,73,99,0.69,overcast clouds
63,Vaini,TO,-21.2,-175.2,82.56,89,40,10.36,scattered clouds
64,Nikolskoye,RU,59.7035,30.7861,44.87,88,100,12.95,light rain
65,Senno,RU,59.5336,33.9167,43.27,83,100,13.0,overcast clouds
66,Victoria,HK,22.2855,114.1577,77.32,91,12,1.01,few clouds
67,Concarneau,FR,47.875,-3.9225,48.97,81,54,3.65,broken clouds
68,Saskylakh,RU,71.9167,114.0833,0.09,91,95,18.48,overcast clouds
69,Biak,ID,-0.9131,122.8766,79.12,80,85,0.72,overcast clouds
70,Vila Franca Do Campo,PT,37.7167,-25.4333,70.2,85,100,18.34,overcast clouds
71,Beira,MZ,-19.8436,34.8389,74.88,86,35,6.71,scattered clouds
72,Inverness,GB,57.4791,-4.224,51.22,90,75,1.01,light rain
73,Deolali,IN,19.95,73.8333,69.71,69,99,6.15,overcast clouds
74,Salalah,OM,17.0151,54.0924,75.29,78,20,3.44,few clouds
75,Atar,MR,20.5169,-13.0499,79.05,29,6,8.25,clear sky
76,Sylacauga,US,33.1732,-86.2516,55.9,67,1,4.61,clear sky
77,Komsomolskiy,UZ,40.4272,71.7189,33.22,64,75,2.3,haze
78,Kapaa,US,22.0752,-159.319,82.38,74,75,1.01,light rain
79,Misratah,LY,32.3754,15.0925,78.67,48,96,14.09,overcast clouds
80,Port Alfred,ZA,-33.5906,26.891,65.08,78,100,9.44,overcast clouds
81,Lompoc,US,34.6391,-120.4579,79.02,68,1,9.22,clear sky
82,Bengkulu,ID,-3.8004,102.2655,74.71,90,100,7.25,overcast clouds
83,Kyra,RU,49.5776,111.9753,4.93,65,0,4.36,clear sky
84,Norman Wells,CA,65.282,-126.8329,17.64,86,90,2.3,mist
85,Divnomorskoye,RU,44.5011,38.1353,60.33,68,27,4.94,scattered clouds
86,Mattru,SL,7.6244,-11.8332,75.02,96,97,2.13,moderate rain
87,Kokopo,PG,-4.352,152.2633,84.4,59,87,4.14,overcast clouds
88,Vao,NC,-22.6667,167.4833,69.03,62,98,10.11,overcast clouds
89,Linares,CL,-35.85,-71.6,70.39,27,0,3.44,clear sky
90,Dikson,RU,73.5069,80.5464,19.38,89,100,17.63,overcast clouds
91,Lebu,CL,-37.6167,-73.65,53.94,81,0,19.64,clear sky
92,Kutum,SD,14.2,24.6667,71.85,30,44,6.55,scattered clouds
93,Ust-Kulom,RU,61.6864,53.6902,37.56,94,100,12.53,overcast clouds
94,Castlegar,CA,49.2998,-117.6689,43.99,99,100,3.33,overcast clouds
95,Tiksi,RU,71.6872,128.8694,5.09,79,100,25.23,overcast clouds
96,Castro,BR,-24.7911,-50.0119,65.43,94,69,1.74,broken clouds
97,Atuona,PF,-9.8,-139.0333,78.08,72,6,16.02,clear sky
98,Ponta Do Sol,PT,32.6667,-17.1,67.71,69,15,9.13,few clouds
99,Pangody,RU,65.85,74.4859,8.15,97,41,3.22,scattered clouds
100,Springbok,ZA,-29.6643,17.8865,53.24,63,59,3.24,broken clouds
101,Havoysund,NO,70.9963,24.6622,34.68,92,100,8.7,light rain
102,Mehamn,NO,71.0357,27.8492,37.31,99,100,18.88,light rain
103,Severo-Kurilsk,RU,50.6789,156.125,37.35,77,99,14.65,overcast clouds
104,Karabuk,TR,41.2049,32.6277,56.44,52,7,2.3,clear sky
105,Hobart,AU,-42.8794,147.3294,70.02,60,75,1.99,broken clouds
106,New Norfolk,AU,-42.7826,147.0587,70.66,53,75,1.01,broken clouds
107,Qaqortoq,GL,60.7167,-46.0333,27.1,88,100,6.87,overcast clouds
108,Marsala,IT,37.7966,12.4352,66.15,100,40,4.61,scattered clouds
109,Chuy,UY,-33.6971,-53.4616,59.67,67,100,18.05,overcast clouds
110,Merano,IT,46.6682,11.1595,42.33,74,8,6.53,clear sky
111,Comodoro Rivadavia,AR,-45.8667,-67.5,57.06,44,0,24.16,clear sky
112,Punta Cardon,VE,11.6581,-70.215,81.81,76,85,26.13,overcast clouds
113,Khatanga,RU,71.9667,102.5,-1.44,92,96,16.44,overcast clouds
114,Mar Del Plata,AR,-38.0023,-57.5575,54.88,71,0,10.0,clear sky
115,Bredasdorp,ZA,-34.5322,20.0403,51.12,82,2,4.61,clear sky
116,Grand Gaube,MU,-20.0064,57.6608,72.37,83,4,1.99,clear sky
117,Tafalla,ES,42.5269,-1.6745,45.39,74,7,15.37,clear sky
118,Ribeira Grande,PT,38.5167,-28.7,69.17,94,100,24.96,overcast clouds
119,Tasiilaq,GL,65.6145,-37.6368,17.98,88,100,9.06,overcast clouds
120,Georgetown,MY,5.4112,100.3354,78.89,92,20,3.44,few clouds
121,Riyadh,SA,24.6877,46.7219,66.34,38,0,2.98,clear sky
122,Safaga,EG,26.7292,33.9365,73.35,53,0,11.56,clear sky
123,Cape Town,ZA,-33.9258,18.4232,58.12,82,0,4.61,clear sky
124,Chateau-Thierry,FR,49.05,3.4,42.94,91,72,4.32,broken clouds
125,Faanui,PF,-16.4833,-151.75,79.61,75,99,9.64,light rain
126,Bundaberg,AU,-24.85,152.35,77.22,65,90,5.99,overcast clouds
127,Waingapu,ID,-9.6567,120.2641,82.13,76,100,3.83,overcast clouds
128,Upernavik,GL,72.7868,-56.1549,14.83,71,29,5.57,scattered clouds
